iter	RMSE
0	497125.9459
1	478664.5147
2	460538.9604
3	444025.8041
4	427577.9001
5	411999.855
6	396783.6454
7	381670.34
8	367806.9396
9	354898.3739
10	343423.2795
11	331032.9872
12	318801.6292
13	307782.8431
14	297153.686
15	287440.0237
16	277540.3022
17	269440.0488
18	260561.6048
19	252494.6442
20	244542.5927
21	236486.5672
22	229322.7964
23	222732.9288
24	215744.1378
25	209261.4953
26	203210.2357
27	197174.4211
28	191356.9855
29	185633.8949
30	180717.4316
31	175989.3048
32	171417.8289
33	166654.3956
34	162663.6821
35	158710.7488
36	154580.5578
37	150522.334
38	146535.7755
39	142792.5283
40	139080.5551
41	135600.4683
42	132637.6134
43	129200.8526
44	126050.6566
45	122996.6994
46	120146.1036
47	117646.0093
48	115044.0012
49	112785.466
50	110474.3861
51	107754.8847
52	105502.7034
53	103546.5185
54	101290.4438
55	99335.1928
56	97318.52905
57	95397.92795
58	93730.55159
59	92259.29548
60	90603.56025
61	88899.30429
62	87389.25445
63	86049.38734
64	84638.63769
65	83284.21595
66	82079.17243
67	80888.14227
68	79712.82937
69	78475.38031
70	77368.1253
71	76288.57962
72	75684.93864
73	74639.28272
74	73664.49516
75	72693.37404
76	71949.82014
77	71394.53884
78	70354.01588
79	69582.42323
80	68894.48849
81	67918.85818
82	67285.63286
83	66581.49586
84	66048.26004
85	65387.50397
86	64744.97021
87	64116.53034
88	63322.30471
89	62789.46966
90	62226.55159
91	61716.23888
92	61118.2238
93	60736.307
94	60301.12605
95	59742.50774
96	59212.2151
97	58928.78345
98	58624.80965
99	58400.80083
100	57883.66544
101	57473.10667
102	57087.4617
103	56565.83951
104	56242.74003
105	55703.75498
106	55432.5124
107	54859.25165
108	54342.36664
109	53896.20758
110	53589.4284
111	53222.3536
112	52854.71592
113	52622.05756
114	52308.42301
115	51833.11984
116	51613.97008
117	51235.07702
118	50976.46608
119	50641.91436
120	50278.74005
121	49921.66612
122	49493.40942
123	49220.01883
124	48900.71576
125	48428.75348
126	48187.72619
127	47813.49648
128	47450.91297
129	47179.19432
130	46910.29643
131	46619.03102
132	46352.52209
133	46177.97706
134	45784.66436
135	45519.07496
136	45159.43653
137	44886.79291
138	44530.20705
139	44258.36858
140	44071.7779
141	43900.94094
142	43606.23632
143	43329.86227
144	43050.84648
145	42792.64835
146	42588.47285
147	42326.22382
148	42087.57694
149	41936.97361
150	41570.17305
151	41366.74185
152	41091.35194
153	40872.54433
154	40559.41288
155	40316.7441
156	40065.48057
157	39800.30557
158	39512.29266
159	39300.51323
160	39057.1489
161	38789.26413
162	38542.87566
163	38326.21783
164	38115.57776
165	37968.77975
166	37732.44716
167	37503.17417
168	37273.3125
169	37141.91478
170	37004.55232
171	36879.59416
172	36734.92113
173	36531.89411
174	36400.1577
175	36268.85248
176	36134.50467
177	35985.46495
178	35748.05437
179	35585.13646
180	35485.62593
181	35363.72153
182	35194.9327
183	34975.88571
184	34773.41914
185	34676.31555
186	34498.74492
187	34321.46153
188	34176.17512
189	33989.14203
190	33830.75529
191	33681.39953
192	33588.43538
193	33417.2209
194	33326.89514
195	33238.0316
196	33167.2584
197	32969.07993
198	32879.2343
199	32705.1371
200	32575.92284
201	32497.44639
202	32433.41758
203	32295.58108
204	32147.28418
205	32018.95289
206	31922.38654
