SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PAST SALE,October-24-2023,Townhouse,1510 Sheffield Rd,Baltimore,MD,21218,279000,4,2.5,Ward 27,1840,Unnamed: 12,1942,Unnamed: 14,152,1,Sold,Unnamed: 18,Unnamed: 19,https://www.redfin.com/MD/Baltimore/1510-Sheffield-Rd-21218/home/11146253,BRIGHT MLS,MDBA2099432,N,Y,39.3421705,-76.5917047,Unnamed: 1,1409 Steuart St,21230,525000,Unnamed: 8,3.0,Unnamed: 10,2252,1002,2006,233,Unnamed: 16,Unnamed: 17,https://www.redfin.com/MD/Baltimore/1409-Steuart-St-21230/home/11891759,Unnamed: 21,Unnamed: 22,39.2686062,-76.5890527,April-28-2023,Single Family Residential,7115 Crail Dr,Bethesda,20817,1470000,4.0,BANNOCKBURN,3348,39932,1959,439,https://www.redfin.com/MD/Bethesda/7115-Crail-Dr-20817/home/10667142,MDMC2085338,38.9811699,-77.1425618,October-12-2023,2308 Mitchellville Rd,Bowie,20716,310000,3,1.5,LAKE VILLAGE MANOR AT LAKE VILLAGE-PLAT 2>,1160,1600,1983,267,67,https://www.redfin.com/MD/Bowie/2308-Mitchellville-Rd-20716/home/10656856,MDPG2091474,38.921524,-76.7322205,August-21-2023,7318 Bobolink Ct,Columbia,21046,612500,VILLAGE OF KINGS CONTRIVANCE,3422,9475,1986,179,126,https://www.redfin.com/MD/Columbia/7318-Bobolink-Ct-21046/home/9989474,MDHW2030616,39.1696901,-76.8716682,June-14-2023,8537 High Ridge Rd,Ellicott City,21043,615000,NORMANDY HEIGHTS,2350,22041,1966,262,https://www.redfin.com/MD/Ellicott-City/8537-High-Ridge-Rd-21043/home/10015330,MDHW2027812,39.2901873,-76.8084589,405 Navaho Dr,Frederick,21701,385000,1.0,1214,6151,1989,317,https://www.redfin.com/MD/Frederick/405-Navaho-Dr-21701/home/15221930,39.4235632,-77.3995142,July-12-2023,9112 Turtle Dove Ln,Gaithersburg,20879,390000,CHARLENE TOWNHOUSES,1342,2944,1980,291,82,https://www.redfin.com/MD/Gaithersburg/9112-Turtle-Dove-Ln-20879/home/10784952,MDMC2097148,39.1759425,-77.1874883,July-25-2023,13530 Champions Way,Germantown,20874,451000,FOUNTAIN HILLS,1636,1050,1999,276,101,https://www.redfin.com/MD/Germantown/13530-Champions-Way-20874/home/10876321,MDMC2098240,39.1623632,-77.2793386,May-22-2023,8300 Ashford Blvd,Laurel,20707,410000,ASHFORD,1752,2419,1985,234,50,https://www.redfin.com/MD/Laurel/8300-Ashford-Blvd-20707/home/10723048,MDPG2075534,39.0955736,-76.8633515,September-21-2023,7510 Persimmon Tree Ln,1600000,3.5,POTOMAC OUTSIDE,2941,44351,1961,544,https://www.redfin.com/MD/Bethesda/7510-Persimmon-Tree-Ln-20817/home/10885862,MDMC2104212,38.9839999,-77.172983,May-5-2023,713 Grandin Ave,Rockville,20850,475000,2,ROCKVILLE PARK,980,6875,1951,485,https://www.redfin.com/MD/Rockville/713-Grandin-Ave-20850/home/10514259,MDMC2081506,39.0818326,-77.1406743,August-31-2023,14020 Castle Ridge Way #38,Silver Spring,20904,440000,RENAISSANCE PLAZA CODM,2000,2005,220,175,https://www.redfin.com/MD/Silver-Spring/14020-Castle-Ridge-Way-20904/unit-38/home/186136874,MDMC2100696,39.08502,-76.941243,June-30-2023,16403 Halloway Ct,Upper Marlboro,20772,2.0,MARLBORO MEADOWS,1300,10093,1969,296,https://www.redfin.com/MD/Upper-Marlboro/16403-Halloway-Ct-20772/home/10557000,MDPG2078572,38.8386146,-76.7211838,May-15-2023,2709 Golden Gate Pl,Waldorf,20601,HAMILTON PARK,2148,2309,2020,205,108,https://www.redfin.com/MD/Waldorf/2709-Golden-Gate-Pl-20601/home/171307094,MDCH2021396,38.638006,-76.9146415
PAST SALE,June-7-2023,Single Family Residential,271 Cape Saint John Rd,Annapolis,MD,21401.0,700000.0,4.0,2.0,CAPE ST JOHN,1798.0,17544.0,1964.0,,389.0,,Sold,,,https://www.redfin.com/MD/Annapolis/271-Cape-Saint-John-Rd-21401/home/9950795,BRIGHT MLS,MDAA2057818,N,Y,38.9595513,-76.5655527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAST SALE,October-12-2023,Townhouse,2707 Merlot Ln,Annapolis,MD,21401.0,625000.0,3.0,3.5,THE VINEYARDS OF ANNAPOLIS,2900.0,2280.0,2006.0,,216.0,183.0,Sold,,,https://www.redfin.com/MD/Annapolis/2707-Merlot-Ln-21401/home/10480644,BRIGHT MLS,MDAA2068398,N,Y,38.9733359,-76.5582236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAST SALE,July-7-2023,Single Family Residential,1607 Agitate Ct,Annapolis,MD,21409.0,451000.0,3.0,2.0,REVELL DOWNS,1898.0,7104.0,1986.0,,238.0,9.0,Sold,,,https://www.redfin.com/MD/Annapolis/1607-Agitate-Ct-21409/home/10277540,BRIGHT MLS,MDAA2060246,N,Y,39.0290664,-76.4340511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAST SALE,September-28-2023,Townhouse,1019 Cedar Ridge Ct,Annapolis,MD,21403.0,260000.0,3.0,2.5,CEDAR RIDGE,1320.0,1600.0,1974.0,,197.0,220.0,Sold,,,https://www.redfin.com/MD/Annapolis/1019-Cedar-Ridge-Ct-21403/home/10445200,BRIGHT MLS,MDAA2067756,N,Y,38.9576565,-76.4935994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAST SALE,July-14-2023,Townhouse,12 Chelsea Ct,Annapolis,MD,21403.0,500000.0,3.0,2.5,HUNT MEADOW,1670.0,1924.0,1987.0,,299.0,210.0,Sold,,,https://www.redfin.com/MD/Annapolis/12-Chelsea-Ct-21403/home/10450183,BRIGHT MLS,MDAA2061696,N,Y,38.9536637,-76.5121689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAST SALE,August-31-2023,Single Family Residential,942 Langdon Ct,Annapolis,MD,21403.0,615000.0,3.0,2.5,AMBRIDGE,1868.0,7254.0,1992.0,,329.0,19.0,Sold,,,https://www.redfin.com/MD/Annapolis/942-Langdon-Ct-21403/home/10442886,BRIGHT MLS,MDAA2065370,N,Y,38.9561858,-76.4955009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAST SALE,September-15-2023,Townhouse,1692 Secretariat Dr,Annapolis,MD,21409.0,375000.0,4.0,2.5,REVELL DOWNS,1404.0,9604.0,1983.0,,267.0,10.0,Sold,,,https://www.redfin.com/MD/Annapolis/1692-Secretariat-Dr-21409/home/10277317,BRIGHT MLS,MDAA2066716,N,Y,39.0302743,-76.4405593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAST SALE,September-15-2023,Single Family Residential,1005 Timber Creek Dr,Annapolis,MD,21403.0,526600.0,3.0,3.0,TIMBER CREEK,1826.0,6681.0,1979.0,,288.0,25.0,Sold,,,https://www.redfin.com/MD/Annapolis/1005-Timber-Creek-Dr-21403/home/10456889,BRIGHT MLS,MDAA2066672,N,Y,38.9558935,-76.4932908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAST SALE,July-18-2023,Single Family Residential,1395 Cedar Ave,Annapolis,MD,21403.0,999999.0,3.0,2.5,ARUNDEL ON THE BAY,2080.0,6250.0,1987.0,,481.0,,Sold,,,https://www.redfin.com/MD/Annapolis/1395-Cedar-Ave-21403/home/9935022,BRIGHT MLS,MDAA2061982,N,Y,38.9244374,-76.4631546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAST SALE,July-24-2023,Single Family Residential,2 Old Mill Bottom Rd N,Annapolis,MD,21409.0,569000.0,4.0,3.0,REGULARS,1724.0,33541.0,1952.0,,330.0,,Sold,,,https://www.redfin.com/MD/Annapolis/2-Old-Mill-Bottom-Rd-N-21409/home/10116578,BRIGHT MLS,MDAA2060490,N,Y,39.019373,-76.481397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
