SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-7-2023,Single Family Residential,271 Cape Saint John Rd,Annapolis,MD,21401,700000,4,2.0,CAPE ST JOHN,1798,17544,1964,,389,,Sold,,,https://www.redfin.com/MD/Annapolis/271-Cape-Saint-John-Rd-21401/home/9950795,BRIGHT MLS,MDAA2057818,N,Y,38.9595513,-76.5655527
PAST SALE,October-12-2023,Townhouse,2707 Merlot Ln,Annapolis,MD,21401,625000,3,3.5,THE VINEYARDS OF ANNAPOLIS,2900,2280,2006,,216,183,Sold,,,https://www.redfin.com/MD/Annapolis/2707-Merlot-Ln-21401/home/10480644,BRIGHT MLS,MDAA2068398,N,Y,38.9733359,-76.5582236
PAST SALE,July-7-2023,Single Family Residential,1607 Agitate Ct,Annapolis,MD,21409,451000,3,2.0,REVELL DOWNS,1898,7104,1986,,238,9,Sold,,,https://www.redfin.com/MD/Annapolis/1607-Agitate-Ct-21409/home/10277540,BRIGHT MLS,MDAA2060246,N,Y,39.0290664,-76.4340511
PAST SALE,September-28-2023,Townhouse,1019 Cedar Ridge Ct,Annapolis,MD,21403,260000,3,2.5,CEDAR RIDGE,1320,1600,1974,,197,220,Sold,,,https://www.redfin.com/MD/Annapolis/1019-Cedar-Ridge-Ct-21403/home/10445200,BRIGHT MLS,MDAA2067756,N,Y,38.9576565,-76.4935994
PAST SALE,July-14-2023,Townhouse,12 Chelsea Ct,Annapolis,MD,21403,500000,3,2.5,HUNT MEADOW,1670,1924,1987,,299,210,Sold,,,https://www.redfin.com/MD/Annapolis/12-Chelsea-Ct-21403/home/10450183,BRIGHT MLS,MDAA2061696,N,Y,38.9536637,-76.5121689
PAST SALE,August-31-2023,Single Family Residential,942 Langdon Ct,Annapolis,MD,21403,615000,3,2.5,AMBRIDGE,1868,7254,1992,,329,19,Sold,,,https://www.redfin.com/MD/Annapolis/942-Langdon-Ct-21403/home/10442886,BRIGHT MLS,MDAA2065370,N,Y,38.9561858,-76.4955009
PAST SALE,September-15-2023,Townhouse,1692 Secretariat Dr,Annapolis,MD,21409,375000,4,2.5,REVELL DOWNS,1404,9604,1983,,267,10,Sold,,,https://www.redfin.com/MD/Annapolis/1692-Secretariat-Dr-21409/home/10277317,BRIGHT MLS,MDAA2066716,N,Y,39.0302743,-76.4405593
PAST SALE,September-15-2023,Single Family Residential,1005 Timber Creek Dr,Annapolis,MD,21403,526600,3,3.0,TIMBER CREEK,1826,6681,1979,,288,25,Sold,,,https://www.redfin.com/MD/Annapolis/1005-Timber-Creek-Dr-21403/home/10456889,BRIGHT MLS,MDAA2066672,N,Y,38.9558935,-76.4932908
PAST SALE,July-18-2023,Single Family Residential,1395 Cedar Ave,Annapolis,MD,21403,999999,3,2.5,ARUNDEL ON THE BAY,2080,6250,1987,,481,,Sold,,,https://www.redfin.com/MD/Annapolis/1395-Cedar-Ave-21403/home/9935022,BRIGHT MLS,MDAA2061982,N,Y,38.9244374,-76.4631546
PAST SALE,July-24-2023,Single Family Residential,2 Old Mill Bottom Rd N,Annapolis,MD,21409,569000,4,3.0,REGULARS,1724,33541,1952,,330,,Sold,,,https://www.redfin.com/MD/Annapolis/2-Old-Mill-Bottom-Rd-N-21409/home/10116578,BRIGHT MLS,MDAA2060490,N,Y,39.019373,-76.481397
