SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-24-2023,Townhouse,1510 Sheffield Rd,Baltimore,MD,21218,279000,4,2.5,Ward 27,1840,,1942,,152,1,Sold,,,https://www.redfin.com/MD/Baltimore/1510-Sheffield-Rd-21218/home/11146253,BRIGHT MLS,MDBA2099432,N,Y,39.3421705,-76.5917047
PAST SALE,,Townhouse,303 W Madison St,Baltimore,MD,21201,369000,,3,,2496,1159,1900,,148,,,,,https://www.redfin.com/MD/Baltimore/303-W-Madison-St-21201/home/25796674,,,N,Y,39.298238,-76.6204446
PAST SALE,October-16-2023,Townhouse,1023 S Bouldin St,Baltimore,MD,21224,385000,2,2.5,Ward 26,1754,,1920,,219,,Sold,,,https://www.redfin.com/MD/Baltimore/1023-S-Bouldin-St-21224/home/11070438,BRIGHT MLS,MDBA2098530,N,Y,39.2808517,-76.5701336
PAST SALE,September-25-2023,Townhouse,1829 N Wolfe St,Baltimore,MD,21213,235000,4,3.5,Ward 8,,1800,1913,,,,Sold,,,https://www.redfin.com/MD/Baltimore/1829-N-Wolfe-St-21213/home/10781711,BRIGHT MLS,MDBA2095682,N,Y,39.3117157,-76.5914801
PAST SALE,October-16-2023,Townhouse,2814 Pelham Ave,Baltimore,MD,21213,132000,2,1.5,Ward 27,1543,1742,1927,,86,,Sold,,,https://www.redfin.com/MD/Baltimore/2814-Pelham-Ave-21213/home/180311452,BRIGHT MLS,MDBA2097690,N,Y,39.3255665,-76.5717434
PAST SALE,September-26-2023,Townhouse,1204 W Cross St W,Baltimore,MD,21230,142900,2,1,Ward 21,912,,1900,,157,,Sold,,,https://www.redfin.com/MD/Baltimore/1204-W-Cross-St-21230/home/11001471,BRIGHT MLS,MDBA2094638,N,Y,39.2821801,-76.6312461
PAST SALE,September-27-2023,Townhouse,3669 Ash St,Baltimore,MD,21211,363000,3,2.5,Ward 13,1853,3013,1880,,196,,Sold,,,https://www.redfin.com/MD/Baltimore/3669-Ash-St-21211/home/10860145,BRIGHT MLS,MDBA2094030,N,Y,39.3313963,-76.6403726
PAST SALE,October-13-2023,Single Family Residential,304 Willow Ave,Baltimore,MD,21206,327218,3,3,WILLOWDALE,2150,4897,1940,,152,,Sold,,,https://www.redfin.com/MD/Baltimore/304-Willow-Ave-21206/home/9401610,BRIGHT MLS,MDBC2077278,N,Y,39.3548007,-76.5223359
PAST SALE,October-23-2023,Townhouse,2769 Baker St,Baltimore,MD,21216,127000,2,1.5,Ward 16,1274,,1940,,100,,Sold,,,https://www.redfin.com/MD/Baltimore/2769-Baker-St-21216/home/10945850,BRIGHT MLS,MDBA2098404,N,Y,39.3058519,-76.6634619
PAST SALE,,Townhouse,915 Chestnut Hill Ave,Baltimore,MD,21218,260000,,2,,1760,1700,1939,,148,,,,,https://www.redfin.com/MD/Baltimore/915-Chestnut-Hill-Ave-21218/home/10824297,,,N,Y,39.3338275,-76.6037006
PAST SALE,October-13-2023,Townhouse,214 Denison St,Baltimore,MD,21229,195000,3,1.5,Ward 20,1568,,1951,,124,,Sold,,,https://www.redfin.com/MD/Baltimore/214-Denison-St-21229/home/10988982,BRIGHT MLS,MDBA2093702,N,Y,39.2903371,-76.6751767
PAST SALE,September-29-2023,Single Family Residential,2822 Christopher Ave,Baltimore,MD,21214,350000,5,3.5,Ward 27,2123,6124,1924,,165,,Sold,,,https://www.redfin.com/MD/Baltimore/2822-Christopher-Ave-21214/home/11143378,BRIGHT MLS,MDBA2091370,N,Y,39.3601118,-76.5594572
PAST SALE,October-11-2023,Townhouse,700 N Augusta Ave,Baltimore,MD,21229,250000,4,2,Ward 16,1400,,1939,,179,,Sold,,,https://www.redfin.com/MD/Baltimore/700-N-Augusta-Ave-21229/home/10929426,BRIGHT MLS,MDBA2092532,N,Y,39.2956228,-76.6853275
PAST SALE,October-6-2023,Townhouse,1519 Barclay St,Baltimore,MD,21202,320000,3,3,Ward 12,1922,868,1920,,166,,Sold,,,https://www.redfin.com/MD/Baltimore/1519-Barclay-St-21202/home/10844366,BRIGHT MLS,MDBA2090600,N,Y,39.3073081,-76.610495
PAST SALE,October-20-2023,Townhouse,1200 S Bouldin St,Baltimore,MD,21224,545000,3,3.5,Ward 26,2146,1156,2001,,254,150,Sold,,,https://www.redfin.com/MD/Baltimore/1200-S-Bouldin-St-21224/home/11222140,BRIGHT MLS,MDBA2068918,N,Y,39.278979,-76.5704612
PAST SALE,,Townhouse,2322 Bright Leaf Way,Baltimore,MD,21209,400000,,3.5,,2312,6316,1986,,173,,,,,https://www.redfin.com/MD/Baltimore/2322-Bright-Leaf-Way-21209/home/11164234,,,N,Y,39.3696562,-76.6702584
PAST SALE,September-27-2023,Townhouse,159 W Lanvale St W #3,Baltimore,MD,21217,251750,2,1.5,Ward 11,1333,,1876,,189,330,Sold,,,https://www.redfin.com/MD/Baltimore/159-W-Lanvale-St-21217/unit-3/home/10832649,BRIGHT MLS,MDBA2100948,N,Y,39.3060435,-76.6227763
PAST SALE,October-16-2023,Townhouse,3213 Piedmont Ave,Baltimore,MD,21216,269900,3,2.5,Ward 15,1760,,1920,,153,,Sold,,,https://www.redfin.com/MD/Baltimore/3213-Piedmont-Ave-21216/home/10911444,BRIGHT MLS,MDBA2102844,N,Y,39.3161627,-76.672406
PAST SALE,,Single Family Residential,3300 Liberty Heights Ave,Baltimore,MD,21215,175000,,2,,3776,12750,1925,,46,,,,,https://www.redfin.com/MD/Baltimore/3300-Liberty-Heights-Ave-21215/home/10904605,,,N,Y,39.3245471,-76.6716137
PAST SALE,,Townhouse,1605 Inverness Ave,Baltimore,MD,21230,85000,,1,,1060,1521,1952,,80,,,,,https://www.redfin.com/MD/Baltimore/1605-Inverness-Ave-21230/home/11034446,,,N,Y,39.2634781,-76.6613521
PAST SALE,September-29-2023,Single Family Residential,2806 Oakley Ave,Baltimore,MD,21215,160000,3,1,Ward 27,1482,6246,1925,,108,,Sold,,,https://www.redfin.com/MD/Baltimore/2806-Oakley-Ave-21215/home/11169286,BRIGHT MLS,MDBA2097900,N,Y,39.3491054,-76.6663804
PAST SALE,,Townhouse,809 Stoll St,Baltimore,MD,21225,140000,,2,,1116,1800,1942,,125,,,,,https://www.redfin.com/MD/Baltimore/809-Stoll-St-21225/home/11887104,,,N,Y,39.2307672,-76.6008082
PAST SALE,,Townhouse,1427 E Federal St,Baltimore,MD,21213,202000,,,,,923,1920,,,,,,,https://www.redfin.com/MD/Baltimore/1427-E-Federal-St-21213/home/10811601,,,N,Y,39.3082135,-76.59891
PAST SALE,,Single Family Residential,4307 Cook Ave,Baltimore,MD,21206,201000,3,1.5,,1298,9148,1918,,155,,,,,https://www.redfin.com/MD/Baltimore/4307-Cook-Ave-21206/home/11887257,,,N,Y,39.3357748,-76.5511487
PAST SALE,,Townhouse,242 S Washington St,Baltimore,MD,21231,399000,,3.5,,1600,1000,1900,,249,,,,,https://www.redfin.com/MD/Baltimore/242-S-Washington-St-21231/home/10748949,,,N,Y,39.2880963,-76.5891081
PAST SALE,,Townhouse,3443 Elmley Ave,Baltimore,MD,21213,95000,,1,,1102,1221,1925,,86,,,,,https://www.redfin.com/MD/Baltimore/3443-Elmley-Ave-21213/home/10801187,,,N,Y,39.316909,-76.5745508
PAST SALE,,Townhouse,9 N Monastery Ave,Baltimore,MD,21229,95000,,1,,1020,1669,1930,,93,,,,,https://www.redfin.com/MD/Baltimore/9-N-Monastery-Ave-21229/home/10990226,,,N,Y,39.2866617,-76.6777216
PAST SALE,,Townhouse,213 N Rose St,Baltimore,MD,21224,115000,,2,,1200,780,1910,,96,,,,,https://www.redfin.com/MD/Baltimore/213-N-Rose-St-21224/home/10754965,,,N,Y,39.2950014,-76.5812079
PAST SALE,,Single Family Residential,3901 Bancroft Rd,Baltimore,MD,21215,244000,,1.5,,2050,5171,1956,,119,,,,,https://www.redfin.com/MD/Baltimore/3901-Bancroft-Rd-21215/home/11181752,,,N,Y,39.3576729,-76.7007537
PAST SALE,,Townhouse,2402 Presbury St,Baltimore,MD,21216,65000,,,,,1440,1920,,,,,,,https://www.redfin.com/MD/Baltimore/2402-Presbury-St-21216/home/10890002,,,N,Y,39.307746,-76.6563209
PAST SALE,October-13-2023,Single Family Residential,412 Old Orchard Rd,Baltimore,MD,21229,350000,6,3.5,Ward 28,3084,22429,1922,,113,,Sold,,,https://www.redfin.com/MD/Baltimore/412-Old-Orchard-Rd-21229/home/11220052,BRIGHT MLS,MDBA2102788,N,Y,39.2887183,-76.7007086
PAST SALE,,Townhouse,4017 Biddison Ln,Baltimore,MD,21206,105000,,2,,1140,1501,1942,,92,,,,,https://www.redfin.com/MD/Baltimore/4017-Biddison-Ln-21206/home/11129101,,,N,Y,39.3376053,-76.5543338
PAST SALE,September-28-2023,Townhouse,700 Baylis,Baltimore,MD,21224,341500,3,2.5,CANTON,1950,1014,1913,,175,,Sold,,,https://www.redfin.com/MD/Baltimore/700-S-Baylis-St-21224/home/11072114,BRIGHT MLS,MDBC2079778,N,Y,39.2841985,-76.5681609
PAST SALE,,Townhouse,4021 Wilkens Ave,Baltimore,MD,21229,130000,,1,,1440,2400,1936,,90,,,,,https://www.redfin.com/MD/Baltimore/4021-Wilkens-Ave-21229/home/11027898,,,N,Y,39.26814,-76.6878072
PAST SALE,,Single Family Residential,3206 Cedarhurst Rd,Baltimore,MD,21214,265000,,2.5,,1724,4725,1940,,154,,,,,https://www.redfin.com/MD/Baltimore/3206-Cedarhurst-Rd-21214/home/11121036,,,N,Y,39.3418019,-76.566151
PAST SALE,,Townhouse,1720 N Wolfe St,Baltimore,MD,21213,92000,,1,,644,1025,1905,,143,,,,,https://www.redfin.com/MD/Baltimore/1720-N-Wolfe-St-21213/home/10794467,,,N,Y,39.3101967,-76.5918338
PAST SALE,,Townhouse,3014 Presstman St,Baltimore,MD,21216,144800,,1,,1400,1784,1918,,103,,,,,https://www.redfin.com/MD/Baltimore/3014-Presstman-St-21216/home/10942122,,,N,Y,39.3047082,-76.6680428
PAST SALE,,Townhouse,3456 Park Heights Ave,Baltimore,MD,21215,82724,,,,,2010,1920,,,,,,,https://www.redfin.com/MD/Baltimore/3456-Park-Heights-Ave-21215/home/10916955,,,N,Y,39.3278367,-76.6581582
PAST SALE,,Townhouse,1956 Hollins Ferry Rd,Baltimore,MD,21230,150000,,1,,1168,1400,1920,,128,,,,,https://www.redfin.com/MD/Baltimore/1956-Hollins-Ferry-Rd-21230/home/11038897,,,N,Y,39.2687889,-76.6470409
PAST SALE,October-13-2023,Single Family Residential,2901 Halcyon Ave,Baltimore,MD,21214,423000,5,4,Ward 27,3100,7496,1930,,136,,Sold,,,https://www.redfin.com/MD/Baltimore/2901-Halcyon-Ave-21214/home/11185558,BRIGHT MLS,MDBA2099712,N,Y,39.3458921,-76.5685326
PAST SALE,,Townhouse,430 Fawcett St,Baltimore,MD,21211,110000,,1,,896,840,1900,,123,,,,,https://www.redfin.com/MD/Baltimore/430-Fawcett-St-21211/home/10842677,,,N,Y,39.3157028,-76.6228935
