SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Townhouse,1409 Steuart St,Baltimore,MD,21230,525000,,3,,2252,1002,2006,,233,,,,,https://www.redfin.com/MD/Baltimore/1409-Steuart-St-21230/home/11891759,,,N,Y,39.2686062,-76.5890527
PAST SALE,September-8-2023,Townhouse,632 Ponca St,Baltimore,MD,21224,199900,4,2,Ward 26,1452,962,1930,,138,,Sold,,,https://www.redfin.com/MD/Baltimore/632-Ponca-St-21224/home/11069085,BRIGHT MLS,MDBA2086734,N,Y,39.2853503,-76.5550505
PAST SALE,May-15-2023,Townhouse,418 Drew St,Baltimore,MD,21224,200000,2,2,Ward 26,1228,,1929,,163,,Sold,,,https://www.redfin.com/MD/Baltimore/418-Drew-St-21224/home/11082220,BRIGHT MLS,MDBA2080792,N,Y,39.2885061,-76.5440101
PAST SALE,June-15-2023,Townhouse,209 S Bouldin St,Baltimore,MD,21224,265000,2,1.5,Ward 26,1160,,1900,,228,,Sold,,,https://www.redfin.com/MD/Baltimore/209-S-Bouldin-St-21224/home/11076685,BRIGHT MLS,MDBA2084280,N,Y,39.2894225,-76.5707426
PAST SALE,May-17-2023,Townhouse,2336 Cambridge Walk,Baltimore,MD,21224,566000,3,3.5,Ward 1,2400,,2003,,236,75,Sold,,,https://www.redfin.com/MD/Baltimore/2336-Cambridge-Walk-21224/home/11222038,BRIGHT MLS,MDBA2081808,N,Y,39.2831129,-76.5830626
PAST SALE,July-17-2023,Townhouse,1431 W 36th St,Baltimore,MD,21211,292000,2,1,Ward 13,1382,1653,1880,,211,,Sold,,,https://www.redfin.com/MD/Baltimore/1431-W-36th-St-21211/home/10860473,BRIGHT MLS,MDBA2086868,N,Y,39.3299611,-76.6386946
PAST SALE,June-30-2023,Townhouse,1710 Ingram Rd,Baltimore,MD,21239,200000,3,2,Ward 27,1600,2178,1954,,125,,Sold,,,https://www.redfin.com/MD/Baltimore/1710-Ingram-Rd-21239/home/11185265,BRIGHT MLS,MDBA2078898,N,Y,39.3512623,-76.5835554
PAST SALE,October-24-2023,Townhouse,1510 Sheffield Rd,Baltimore,MD,21218,279000,4,2.5,Ward 27,1840,,1942,,152,1,Sold,,,https://www.redfin.com/MD/Baltimore/1510-Sheffield-Rd-21218/home/11146253,BRIGHT MLS,MDBA2099432,N,Y,39.3421705,-76.5917047
PAST SALE,June-20-2023,Townhouse,1837 Light St,Baltimore,MD,21230,280000,2,1.5,Ward 24,1053,1001,1900,,266,,Sold,,,https://www.redfin.com/MD/Baltimore/1837-Light-St-21230/home/11018915,BRIGHT MLS,MDBA2085476,N,Y,39.2687342,-76.6116775
PAST SALE,May-2-2023,Townhouse,147 S Bouldin St,Baltimore,MD,21224,395000,3,3.5,Ward 26,1932,910,1920,,204,,Sold,,,https://www.redfin.com/MD/Baltimore/147-S-Bouldin-St-21224/home/174689971,BRIGHT MLS,MDBA2075832,N,Y,39.2903067,-76.5708317
PAST SALE,May-5-2023,Townhouse,5736 Greenspring Ave,Mount Washington,MD,21209,380000,3,2.5,Ward 27,2054,,1947,,185,,Sold,,,https://www.redfin.com/MD/Baltimore/5736-Greenspring-Ave-21209/home/11180107,BRIGHT MLS,MDBA2079006,N,Y,39.3629976,-76.6694187
PAST SALE,May-16-2023,Townhouse,805 Mchenry St,Baltimore,MD,21230,355000,4,3.5,Ward 21,2288,1263,2006,,155,108,Sold,,,https://www.redfin.com/MD/Baltimore/805-McHenry-St-21230/home/23462246,BRIGHT MLS,MDBA2081894,N,Y,39.2846984,-76.6293842
PAST SALE,May-17-2023,Single Family Residential,3505 Cascade Ave,Baltimore,MD,21206,255000,3,2,Ward 27,1638,6360,1956,,156,,Sold,,,https://www.redfin.com/MD/Baltimore/3505-Cascade-Ave-21206/home/11132235,BRIGHT MLS,MDBA2081700,N,Y,39.3518773,-76.5479426
PAST SALE,August-4-2023,Townhouse,22 S Washington St,Baltimore,MD,21231,285000,3,2,Ward 2,1490,871,1900,,191,,Sold,,,https://www.redfin.com/MD/Baltimore/22-S-Washington-St-21231/home/10741939,BRIGHT MLS,MDBA2091282,N,Y,39.2910563,-76.589297
PAST SALE,July-28-2023,Townhouse,1219 W 40th St,Baltimore,MD,21211,375000,3,2,Ward 13,1400,,1929,,268,,Sold,,,https://www.redfin.com/MD/Baltimore/1219-W-40th-St-21211/home/10874453,BRIGHT MLS,MDBA2090618,N,Y,39.3363288,-76.6375935
PAST SALE,July-31-2023,Single Family Residential,3507 White Chapel Rd,Baltimore,MD,21215,370000,4,3.5,Ward 15,2272,5940,1939,,163,,Sold,,,https://www.redfin.com/MD/Baltimore/3507-White-Chapel-Rd-21215/home/10905233,BRIGHT MLS,MDBA2089656,N,Y,39.3270887,-76.6712077
PAST SALE,July-27-2023,Townhouse,4212 Skyview,Baltimore,MD,21211,515000,4,4.5,Ward 13,2097,,2017,,246,112,Sold,,,https://www.redfin.com/MD/Baltimore/4212-Skyview-21211/home/109860727,BRIGHT MLS,MDBA2088482,N,Y,39.3394251,-76.6368151
PAST SALE,September-15-2023,Townhouse,2739 Maryland Ave,Baltimore,MD,21218,415000,4,2.5,Ward 12,2502,,1920,,166,,Sold,,,https://www.redfin.com/MD/Baltimore/2739-Maryland-Ave-21218/home/10841178,BRIGHT MLS,MDBA2095030,N,Y,39.3214892,-76.6183136
PAST SALE,September-13-2023,Townhouse,811 S Streeper St,Baltimore,MD,21224,285000,2,1,Ward 1,1054,,1920,,270,,Sold,,,https://www.redfin.com/MD/Baltimore/811-S-Streeper-St-21224/home/10736324,BRIGHT MLS,MDBA2093502,N,Y,39.2826578,-76.5761527
PAST SALE,May-31-2023,Townhouse,3518 Greenmount Ave,Baltimore,MD,21218,392000,4,3.5,Ward 12,2916,436,1919,,134,,Sold,,,https://www.redfin.com/MD/Baltimore/3518-Greenmount-Ave-21218/home/10851636,BRIGHT MLS,MDBA2080946,N,Y,39.3315967,-76.6097577
PAST SALE,,Townhouse,303 W Madison St,Baltimore,MD,21201,369000,,3,,2496,1159,1900,,148,,,,,https://www.redfin.com/MD/Baltimore/303-W-Madison-St-21201/home/25796674,,,N,Y,39.298238,-76.6204446
PAST SALE,September-15-2023,Single Family Residential,3129 Chesley Ave,Baltimore,MD,21234,230000,3,2,Ward 27,2196,7497,1913,,105,,Sold,,,https://www.redfin.com/MD/Baltimore/3129-Chesley-Ave-21234/home/11138878,BRIGHT MLS,MDBA2092538,N,Y,39.3638319,-76.5453686
PAST SALE,October-16-2023,Townhouse,1023 S Bouldin St,Baltimore,MD,21224,385000,2,2.5,Ward 26,1754,,1920,,219,,Sold,,,https://www.redfin.com/MD/Baltimore/1023-S-Bouldin-St-21224/home/11070438,BRIGHT MLS,MDBA2098530,N,Y,39.2808517,-76.5701336
PAST SALE,June-30-2023,Single Family Residential,2915 Glenmore Ave,Baltimore,MD,21214,395000,5,4,Ward 27,2268,7496,1927,,174,,Sold,,,https://www.redfin.com/MD/Baltimore/2915-Glenmore-Ave-21214/home/11142940,BRIGHT MLS,MDBA2087252,N,Y,39.356594,-76.5593217
PAST SALE,August-4-2023,Townhouse,319 S Chester St,Baltimore,MD,21231,430000,3,3.5,Ward 1,1692,718,1920,,254,,Sold,,,https://www.redfin.com/MD/Baltimore/319-S-Chester-St-21231/home/10727253,BRIGHT MLS,MDBA2091080,N,Y,39.287484,-76.5869328
