SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-28-2023,Single Family Residential,7115 Crail Dr,Bethesda,MD,20817,1470000,4,4,BANNOCKBURN,3348,39932,1959,,439,,Sold,,,https://www.redfin.com/MD/Bethesda/7115-Crail-Dr-20817/home/10667142,BRIGHT MLS,MDMC2085338,N,Y,38.9811699,-77.1425618
PAST SALE,September-21-2023,Single Family Residential,7510 Persimmon Tree Ln,Bethesda,MD,20817,1600000,4,3.5,POTOMAC OUTSIDE,2941,44351,1961,,544,,Sold,,,https://www.redfin.com/MD/Bethesda/7510-Persimmon-Tree-Ln-20817/home/10885862,BRIGHT MLS,MDMC2104212,N,Y,38.9839999,-77.172983
PAST SALE,May-11-2023,Single Family Residential,5909 Kingsford Pl,Bethesda,MD,20817,1165000,5,3,ASHBURTON,2522,10478,1957,,462,,Sold,,,https://www.redfin.com/MD/Bethesda/5909-Kingsford-Pl-20817/home/10671463,BRIGHT MLS,MDMC2088918,N,Y,39.0137903,-77.1206286
PAST SALE,September-6-2023,Single Family Residential,9802 Brixton Ln,Bethesda,MD,20817,1261000,5,3.5,STRATTON WOODS,3184,10094,1961,,396,,Sold,,,https://www.redfin.com/MD/Bethesda/9802-Brixton-Ln-20817/home/10675958,BRIGHT MLS,MDMC2101234,N,Y,39.0156849,-77.1338842
PAST SALE,June-14-2023,Single Family Residential,9300 Renshaw Dr,Bethesda,MD,20817,1620000,5,3.5,BRADLEY MANOR,4477,21941,1963,,362,,Sold,,,https://www.redfin.com/MD/Bethesda/9300-Renshaw-Dr-20817/home/10676189,BRIGHT MLS,MDMC2091666,N,Y,39.0089325,-77.1402698
PAST SALE,July-11-2023,Single Family Residential,7616 Hamilton Spring Rd,Bethesda,MD,20817,1390000,5,4,CARDEROCK SPRINGS,3338,19668,1966,,416,,Sold,,,https://www.redfin.com/MD/Bethesda/7616-Hamilton-Spring-Rd-20817/home/10888961,BRIGHT MLS,MDMC2091112,N,Y,38.9839661,-77.1651201
PAST SALE,July-28-2023,Single Family Residential,6921 Granby St,Bethesda,MD,20817,1162500,4,3,KENWOOD PARK,2236,9720,1959,,520,,Sold,,,https://www.redfin.com/MD/Bethesda/6921-Granby-St-20817/home/10668835,BRIGHT MLS,MDMC2097410,N,Y,38.9803172,-77.1173473
PAST SALE,October-5-2023,Single Family Residential,5803 Ogden Rd,Bethesda,MD,20816,1165000,4,3,COUNTRY CLUB HILLS,2355,11022,1957,,495,,Sold,,,https://www.redfin.com/MD/Bethesda/5803-Ogden-Rd-20816/home/10636809,BRIGHT MLS,MDMC2103724,N,Y,38.9699451,-77.116201
PAST SALE,October-11-2023,Single Family Residential,5110 Brookeway Dr,Bethesda,MD,20816,1178000,4,4,MASS AVE HILLS,2702,8350,1955,,436,,Sold,,,https://www.redfin.com/MD/Bethesda/5110-Brookeway-Dr-20816/home/10667456,BRIGHT MLS,MDMC2100992,N,Y,38.9579924,-77.1152795
PAST SALE,June-20-2023,Single Family Residential,5917 Anniston Rd,Bethesda,MD,20817,1950000,5,4.5,ALTA VISTA TERRACE,4800,7150,2017,,406,,Sold,,,https://www.redfin.com/MD/Bethesda/5917-Anniston-Rd-20817/home/10677999,BRIGHT MLS,MDMC2089904,N,Y,39.0081896,-77.1190673
