SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,405 Navaho Dr,Frederick,MD,21701,385000,,1,,1214,6151,1989,,317,,,,,https://www.redfin.com/MD/Frederick/405-Navaho-Dr-21701/home/15221930,,,N,Y,39.4235632,-77.3995142
PAST SALE,August-17-2023,Townhouse,6581 Ewald Ct,Frederick,MD,21703,385000,0,1,HANNOVER,0,4444,2023,,,87,Sold,,,https://www.redfin.com/MD/Frederick/6581-Ewald-Ct-21703/home/15215448,BRIGHT MLS,MDFR2037450,N,Y,39.3919265,-77.4411613
PAST SALE,June-27-2023,Single Family Residential,7514 Lovely Ct,Frederick,MD,21702,475000,4,3,MEADOWCREST,1823,30492,1970,,261,,Sold,,,https://www.redfin.com/MD/Frederick/7514-Lovely-Ct-21702/home/15224664,BRIGHT MLS,MDFR2035052,N,Y,39.44169,-77.4620629
PAST SALE,September-1-2023,Townhouse,6834 Acacia Ct,Frederick,MD,21703,330000,3,2.5,MOUNTAIN VILLAGE,1496,2719,1988,,221,130,Sold,,,https://www.redfin.com/MD/Frederick/6834-Acacia-Ct-21703/home/15205203,BRIGHT MLS,MDFR2038102,N,Y,39.3929349,-77.4305064
PAST SALE,August-31-2023,Townhouse,1942 Crossing Stone Ct,Frederick,MD,21702,415000,3,2.5,NORTH CROSSING,2038,3487,2002,,204,42,Sold,,,https://www.redfin.com/MD/Frederick/1942-Crossing-Stone-Ct-21702/home/15185218,BRIGHT MLS,MDFR2037836,N,Y,39.463876,-77.4103757
PAST SALE,October-16-2023,Single Family Residential,9011 Mountainberry Ct,Frederick,MD,21702,705000,4,3.5,MOUNTAIN LAUREL ESTATES,3293,40946,1987,,214,,Sold,,,https://www.redfin.com/MD/Frederick/9011-Mountainberry-Ct-21702/home/15224541,BRIGHT MLS,MDFR2039754,N,Y,39.4816799,-77.4730877
PAST SALE,June-5-2023,Single Family Residential,387 Pearl St,Frederick,MD,21701,375000,3,1,Frederick,1100,6500,1962,,341,,Sold,,,https://www.redfin.com/MD/Frederick/387-Pearl-St-21701/home/15234221,BRIGHT MLS,MDFR2033984,N,Y,39.4050558,-77.4225263
PAST SALE,June-30-2023,Townhouse,4938 Whitney Ter,Frederick,MD,21703,375000,4,2.5,WELLINGTON TRACE,1768,1388,2003,,212,66,Sold,,,https://www.redfin.com/MD/Frederick/4938-Whitney-Ter-21703/home/15247227,BRIGHT MLS,MDFR2035128,N,Y,39.3692861,-77.4407842
PAST SALE,August-17-2023,Townhouse,202 Harpers Way,Frederick,MD,21702,389900,3,3,NORTH CROSSING,1720,2234,2000,,227,100,Sold,,,https://www.redfin.com/MD/Frederick/202-Harpers-Way-21702/home/15186408,BRIGHT MLS,MDFR2037144,N,Y,39.4631592,-77.4077414
PAST SALE,July-14-2023,Townhouse,5933 Garden Walk Dr #84,Frederick,MD,21703,525000,3,3.5,HARRINGTON TERRACE,2200,2187,2021,,239,84,Sold,,,https://www.redfin.com/MD/Frederick/5933-Garden-Walk-Dr-21703/unit-84/home/174684981,BRIGHT MLS,MDFR2035008,N,Y,39.3950125,-77.456065
