SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-30-2023,Single Family Residential,16403 Halloway Ct,Upper Marlboro,MD,20772,385000,3,2,MARLBORO MEADOWS,1300,10093,1969,,296,,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/16403-Halloway-Ct-20772/home/10557000,BRIGHT MLS,MDPG2078572,N,Y,38.8386146,-76.7211838
PAST SALE,October-11-2023,Single Family Residential,1209 Pickering Cir,Upper Marlboro,MD,20774,425000,3,2,RAMBLING HILLS,1602,15300,1973,,265,,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/1209-Pickering-Cir-20774/home/10853473,BRIGHT MLS,MDPG2089032,N,Y,38.8696194,-76.8188684
PAST SALE,July-14-2023,Townhouse,13543 Lord Baltimore Pl,Upper Marlboro,MD,20772,351000,2,2.5,VILLAGES OF MARLBOROUGH-PLAT 19>,1362,1995,1990,,258,70,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/13543-Lord-Baltimore-Pl-20772/home/10558811,BRIGHT MLS,MDPG2080786,N,Y,38.8287069,-76.7683452
PAST SALE,June-12-2023,Single Family Residential,12902 Keverton Dr,Upper Marlboro,MD,20774,460000,3,2.5,KETTERING,1350,8730,1976,,341,13,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/12902-Keverton-Dr-20774/home/10663180,BRIGHT MLS,MDPG2073708,N,Y,38.8905532,-76.7830851
PAST SALE,May-2-2023,Townhouse,4415 Grazing Way,Upper Marlboro,MD,20772,690000,4,4,MARLBORO RIDGE,3258,4776,2015,,212,214,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/4415-Grazing-Way-20772/home/64331147,BRIGHT MLS,MDPG2073298,N,Y,38.8283193,-76.8153986
PAST SALE,July-13-2023,Townhouse,4339 Swindon Ter,Upper Marlboro,MD,20772,375000,3,2.5,KINGS GRANT,10,2400,1995,,37500,102,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/4339-Swindon-Ter-20772/home/10918151,BRIGHT MLS,MDPG2080430,N,Y,38.829861,-76.7773864
PAST SALE,July-31-2023,Townhouse,200 Harry S Truman Dr #25171,Upper Marlboro,MD,20774,325000,3,2.5,PRINCE PLACE AT NORTHAMPTON CONDO-NO 3-PHS 3>,2080,,1976,,156,150,Sold,,,https://www.redfin.com/MD/Largo/200-S-Harry-Truman-Dr-20774/unit-25171/home/176490441,BRIGHT MLS,MDPG2081252,N,Y,38.8875437,-76.8358031
PAST SALE,September-19-2023,Single Family Residential,6700 Osborne Hill Dr,Upper Marlboro,MD,20772,925000,5,3,WINDSONG-PLAT 1>,5016,49658,2014,,184,60,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/6700-Osborne-Hill-Dr-20772/home/11160126,BRIGHT MLS,MDPG2084516,N,Y,38.7978556,-76.8152184
PAST SALE,May-24-2023,Single Family Residential,9721 Green Apple TURN,Upper Marlboro,MD,20772,445000,4,3,WILLIAMSBURG ESTATES,1560,9280,1974,,285,,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/9721-Green-Apple-Turn-20772/home/10748982,BRIGHT MLS,MDPG2074982,N,Y,38.7738834,-76.8385583
PAST SALE,July-14-2023,Townhouse,9504 Westerdale Dr,Upper Marlboro,MD,20774,470000,4,3.5,WESTPHALIA ROW,1600,1180,2013,,294,88,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/9504-Westerdale-Dr-20774/home/52904917,BRIGHT MLS,MDPG2080024,N,Y,38.8657885,-76.8412454
PAST SALE,July-14-2023,Single Family Residential,2004 Fittleworth Ter,Upper Marlboro,MD,20774,725000,4,2.5,BEECH TREE NORTH VILLAGE,3637,6788,2011,,199,100,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/2004-Fittleworth-Ter-20774/home/40137025,BRIGHT MLS,MDPG2080962,N,Y,38.8622165,-76.7428279
PAST SALE,June-15-2023,Single Family Residential,11008 White House Rd,Upper Marlboro,MD,20774,430000,3,2.5,NORTHAMPTON,2032,10400,1972,,212,,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/11008-White-House-Rd-20774/home/10858222,BRIGHT MLS,MDPG2076704,N,Y,38.8700145,-76.8153085
PAST SALE,August-11-2023,Townhouse,13190 Ripon Pl,Upper Marlboro,MD,20772,375000,4,2.5,KINGS GRANT,1600,1633,1995,,234,103,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/13190-Ripon-Pl-20772/home/10918417,BRIGHT MLS,MDPG2081562,N,Y,38.8273036,-76.7779413
PAST SALE,July-11-2023,Single Family Residential,1204 Northern Lights Dr,Upper Marlboro,MD,20774,700000,5,3.5,HERITAGE GLEN-PLAT FIVE>,4274,10290,2007,,164,55,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/1204-Northern-Lights-Dr-20774/home/11142533,BRIGHT MLS,MDPG2075676,N,Y,38.8729701,-76.8320254
PAST SALE,August-4-2023,Single Family Residential,12504 Marlboro Pointe Dr,Upper Marlboro,MD,20772,783000,5,3.5,MARLBORO POINTE,4980,10863,2020,,157,75,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/12504-Marlboro-Pointe-Dr-20772/home/28959675,BRIGHT MLS,MDPG2073040,N,Y,38.824051,-76.7887143
PAST SALE,June-1-2023,Townhouse,1707 Walcott Ln,Upper Marlboro,MD,20774,425000,4,2.5,WESTPHALIA ROW,1612,1547,2013,,264,88,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/1707-Walcott-Ln-20774/home/40144713,BRIGHT MLS,MDPG2073848,N,Y,38.8657241,-76.8405027
PAST SALE,July-31-2023,Townhouse,10804 Lariat Way,Upper Marlboro,MD,20772,585000,3,3,MARLBORO RIDGE,3852,2760,2017,,152,226,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/10804-Lariat-Way-20772/home/109736975,BRIGHT MLS,MDPG2081530,N,Y,38.8287428,-76.8176968
PAST SALE,September-1-2023,Townhouse,11 Joyceton Ter,Upper Marlboro,MD,20774,375000,4,3.5,KETTERING PLAT 57,1292,1670,1989,,290,50,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/11-Joyceton-Ter-20774/home/10842138,BRIGHT MLS,MDPG2078442,N,Y,38.8958136,-76.8184647
PAST SALE,September-29-2023,Single Family Residential,1223 Pickering Cir,Upper Marlboro,MD,20774,368000,4,2.5,RAMBLING HILLS,2072,15211,1973,,178,,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/1223-Pickering-Cir-20774/home/10824264,BRIGHT MLS,MDPG2089040,N,Y,38.8704695,-76.8196344
PAST SALE,June-15-2023,Single Family Residential,13702 Tree Leaf Ct,Upper Marlboro,MD,20774,840000,5,4.5,RUSTIC RIDGE-PLAT 1>,6500,22176,2003,,129,27,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/13702-Tree-Leaf-Ct-20774/home/10563929,BRIGHT MLS,MDPG2075890,N,Y,38.8641749,-76.7675337
PAST SALE,August-24-2023,Townhouse,9519 Sycamore Grv,Upper Marlboro,MD,20772,525000,4,3.5,SMITH HOME FARM,2702,2000,2017,,194,135,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/9519-Sycamore-Grv-20772/home/64329909,BRIGHT MLS,MDPG2079372,N,Y,38.827872,-76.844512
PAST SALE,July-3-2023,Townhouse,4341 Spring Foal Ct,Upper Marlboro,MD,20772,602000,3,3,MARLBORO RIDGE,3549,4080,2019,,170,225,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/4341-Spring-Foal-Ct-20772/home/166438654,BRIGHT MLS,MDPG2075886,N,Y,38.8309452,-76.8190486
PAST SALE,June-6-2023,Townhouse,4217 Woodspring Ln,Upper Marlboro,MD,20772,515000,3,3,SMITH HOME FARM,2641,2382,2018,,195,126,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/4217-Woodspring-Ln-20772/home/56719055,BRIGHT MLS,MDPG2073308,N,Y,38.8327998,-76.8479291
PAST SALE,June-2-2023,Single Family Residential,10102 Milwaukee Ct,Upper Marlboro,MD,20774,525300,4,2.5,PRESIDENTIAL HEIGHTS PLAT 1>,1960,6054,2000,,268,44,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/10102-Milwaukee-Ct-20774/home/10862536,BRIGHT MLS,MDPG2077240,N,Y,38.8720613,-76.8300429
PAST SALE,May-1-2023,Single Family Residential,10600 Furgang Rd,Upper Marlboro,MD,20772,750000,4,4.5,FURGANG FARM-PLAT 1>,4951,30791,2019,,151,121,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/10600-Furgang-Rd-20772/home/11159445,BRIGHT MLS,MDPG2073564,N,Y,38.7442743,-76.8151283
PAST SALE,May-15-2023,Townhouse,5601 Green Point Ln,Upper Marlboro,MD,20772,550000,3,2.5,WESTPHALIA,2524,2244,2022,,218,130,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/5601-Greenpoint-Ln-20772/home/179300792,BRIGHT MLS,MDPG2071672,N,Y,38.8208481,-76.8309191
PAST SALE,May-17-2023,Single Family Residential,9100 Crystal Oaks Ln,Upper Marlboro,MD,20772,720000,5,3.5,SMITH HOME FARM,4281,6163,2019,,168,100,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/9100-Crystal-Oaks-Ln-20772/home/56719038,BRIGHT MLS,MDPG2071896,N,Y,38.83375,-76.8485147
PAST SALE,August-10-2023,Townhouse,2015 Whistling Duck Dr,Upper Marlboro,MD,20774,530000,3,3.5,PERRYWOOD,2140,3248,2001,,248,93,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/2015-Whistling-Duck-Dr-20774/home/10563435,BRIGHT MLS,MDPG2078938,N,Y,38.8678984,-76.7648639
PAST SALE,August-21-2023,Single Family Residential,716 Ardonia Ter,Upper Marlboro,MD,20774,875000,5,4.5,OAK CREEK CLUB,6024,10751,2013,,145,217,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/716-Ardonia-Ter-20774/home/11157926,BRIGHT MLS,MDPG2080590,N,Y,38.8795013,-76.7628229
PAST SALE,May-25-2023,Single Family Residential,4906 Bridle Ridge Rd,Upper Marlboro,MD,20772,855000,5,4.5,MARLBORO RIDGE,6241,12338,2019,,137,148,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/4906-Bridle-Ridge-Rd-20772/home/147760053,BRIGHT MLS,MDPG2072586,N,Y,38.8289802,-76.8215269
PAST SALE,May-23-2023,Single Family Residential,12805 Redgrave Dr,Upper Marlboro,MD,20774,420000,4,2,VILLAGE OF OAK GROVE PLAT THREE,1640,10022,1986,,256,,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/12805-Redgrave-Dr-20774/home/10551344,BRIGHT MLS,MDPG2070852,N,Y,38.8677866,-76.7846626
PAST SALE,June-30-2023,Townhouse,266 Phoenix Dr,Upper Marlboro,MD,20774,495000,3,3.5,CAPITAL COURT,2016,1296,2020,,246,155,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/266-Phoenix-Dr-20774/home/167685301,BRIGHT MLS,MDPG2073078,N,Y,38.8925486,-76.8414736
PAST SALE,July-27-2023,Townhouse,5615 Billenca Ln,Upper Marlboro,MD,20772,502660,3,2.5,WESTPHALIA,2486,,2023,,202,130,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/5615-Billenca-LN-20772/home/184644337,BRIGHT MLS,MDPG2072020,N,Y,38.82044712,-76.82933987
PAST SALE,May-24-2023,Townhouse,5511 Greenpoint Ln Unit C,Upper Marlboro,MD,20772,519650,3,2.5,WESTPHALIA TOWN CENTER,2183,1800,2023,,238,130,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/5511-Greenpoint-Ln-20772/unit-C/home/183223964,BRIGHT MLS,MDPG2064862,N,Y,38.8203788,-76.8306933
PAST SALE,May-19-2023,Townhouse,8800 Sybil Ln Unit C,Upper Marlboro,MD,20772,479990,3,2.5,ARMSTRONG VILLAGE,1979,,2023,,243,100,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/8800-Sybil-Ln-20772/unit-C/home/185023849,BRIGHT MLS,MDPG2075220,N,Y,38.834236,-76.853959
PAST SALE,April-28-2023,Townhouse,5602 Addington Ln Unit E,Upper Marlboro,MD,20772,558980,3,2.5,WESTPHALIA,,1767,2023,,,130,Sold,,,https://www.redfin.com/MD/Unknown/5602-Addington-Ln-20772/unit-E/home/182045747,BRIGHT MLS,MDPG2058580,N,Y,38.8207422,-76.8292451
PAST SALE,July-14-2023,Single Family Residential,10915 Meridian Hill Way,Upper Marlboro,MD,20772,865278,5,4.5,WESTPHALIA TOWN CENTER,,8054,2023,,,110,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/10915-Meridian-Hill-Way-20772/home/179301110,BRIGHT MLS,MDPG2084756,N,Y,38.823387,-76.826911
PAST SALE,July-7-2023,Townhouse,10940 Blanton Way,Upper Marlboro,MD,20772,690525,3,2.5,WESTPHALIA TOWN CENTER,,2330,2023,,,130,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/10940-Blanton-Way-20772/home/179301077,BRIGHT MLS,MDPG2084938,N,Y,38.823116,-76.828594
PAST SALE,September-8-2023,Townhouse,5510 Manor Park Dr,Upper Marlboro,MD,20772,474345,3,2.5,WESTPHALIA TOWN CENTER,2124,,2023,,223,130,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/5510-Manor-Park-Dr-20772/home/184628134,BRIGHT MLS,MDPG2072016,N,Y,38.8211669,-76.8319962
PAST SALE,October-6-2023,Townhouse,12135 Open View Ln #205,Upper Marlboro,MD,20774,342000,3,2.5,WATKINS PLACE SEC 1 CONDO-PHASE 1>,1771,,2006,,193,338,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/12135-Open-View-Ln-20774/unit-205/home/11161238,BRIGHT MLS,MDPG2093304,N,Y,38.8755618,-76.7957144
PAST SALE,June-7-2023,Single Family Residential,9903 Pesade Way,Upper Marlboro,MD,20772,783470,5,3,CANTER CREEK,4312,11276,2023,,182,119,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/9903-Pesade-Way-20772/home/167655806,BRIGHT MLS,MDPG2087480,N,Y,38.76768,-76.835772
PAST SALE,,Single Family Residential,15515 Finchingfield Way,Upper Marlboro,MD,20774,925000,,2.5,,4788,14104,2013,,193,,,,,https://www.redfin.com/MD/Upper-Marlboro/15515-Finchingfield-Way-20774/home/11155434,,,N,Y,38.8438545,-76.7356587
PAST SALE,August-9-2023,Single Family Residential,10130 Dressage Dr,Upper Marlboro,MD,20772,718835,4,2.5,CANTER CREEK,3920,8348,,,183,91,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/10130-Dressage-Dr-20772/home/167655927,BRIGHT MLS,MDPG2088710,N,Y,38.762561,-76.838217
PAST SALE,May-3-2023,Townhouse,307 Summit Point Blvd,Bowie,MD,20716,664990,4,3.5,Bowie,2376,2160,2022,,280,130,Sold,,,https://www.redfin.com/MD/Bowie/307-Summit-Point-Blvd-20716/home/179309481,BRIGHT MLS,MDPG2078044,N,Y,38.894333,-76.726405
PAST SALE,August-29-2023,Townhouse,639 Glen Lake Dr,Bowie,MD,20716,643914,3,3.5,Bowie,,2311,2022,,,130,Sold,,,https://www.redfin.com/MD/Bowie/639-Glen-Lake-Dr-20716/home/179309519,BRIGHT MLS,MDPG2090564,N,Y,38.892095,-76.726477
PAST SALE,August-16-2023,Townhouse,620 Glen Lake Dr,Bowie,MD,20716,661645,3,3,Bowie,,2783,2022,,,130,Sold,,,https://www.redfin.com/MD/Bowie/620-Glen-Lake-Dr-20716/home/179309545,BRIGHT MLS,MDPG2088194,N,Y,38.892763,-76.726161
PAST SALE,August-30-2023,Townhouse,635 Glen Lake Dr,Bowie,MD,20716,661037,4,3.5,Bowie,,2280,2023,,,130,Sold,,,https://www.redfin.com/MD/Bowie/635-Glen-Lake-Dr-20716/home/179309521,BRIGHT MLS,MDPG2089486,N,Y,38.892224,-76.726508
PAST SALE,September-28-2023,Townhouse,50 Old Enterprise Rd #73,Upper Marlboro,MD,20774,290000,3,2.5,KETTERING,1936,,1970,,150,238,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/50-Old-Enterprise-Rd-20774/unit-73/home/10671188,BRIGHT MLS,MDPG2092274,N,Y,38.8970834,-76.7926701
PAST SALE,October-4-2023,Townhouse,305 Summit Point Blvd,Bowie,MD,20716,689830,3,3,Bowie,2352,2160,2023,,293,130,Sold,,,https://www.redfin.com/MD/Bowie/305-Summit-Point-Blvd-20716/home/179309480,BRIGHT MLS,MDPG2092774,N,Y,38.894373,-76.726337
PAST SALE,September-2-2023,Townhouse,641 Glen Lake Dr,Bowie,MD,20716,718230,4,3.5,Bowie,,2820,2022,,,130,Sold,,,https://www.redfin.com/MD/Bowie/641-Glen-Lake-Dr-20716/home/179309518,BRIGHT MLS,MDPG2090844,N,Y,38.892024,-76.72646
PAST SALE,,Single Family Residential,11400 Southglen St,Upper Marlboro,MD,20772,360000,,2,,1144,10116,1975,,315,,,,,https://www.redfin.com/MD/Upper-Marlboro/11400-Southglen-St-20772/home/10930236,,,N,Y,38.8225046,-76.8080984
PAST SALE,August-27-2023,Single Family Residential,9614 Meadow Lark Ave,Upper Marlboro,MD,20772,405000,4,3,QUEENS WOOD,1134,18346,1978,,357,,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/9614-Meadow-Lark-Ave-20772/home/10933607,BRIGHT MLS,MDPG2084254,N,Y,38.8022848,-76.8363957
PAST SALE,September-29-2023,Single Family Residential,9901 Pesade Way,Upper Marlboro,MD,20772,745015,4,3.5,CANTER CREEK,4352,8007,,,171,91,Sold,,,https://www.redfin.com/MD/Upper-Marlboro/9901-Pesade-Way-20772/home/187803164,BRIGHT MLS,MDPG2092700,N,Y,38.7678278,-76.835789
